,community_area,community_area_name,assault_homicide,firearm_related,below_poverty_level,crowded_housing,dependency,no_high_school_diploma,per_capita_income,unemployment,adult_fruit_and_vegetable_servings_rate,adult_soda_consumption_rate,low_food_access,poverty_rate,crime_rate,population
59,61,NEW CITY,26.6,24.6,30.6,12.2,42.0,42.4,12524,17.4,21.4,42.3,21.3747748946289,24.8253252340754,1225.2370065325547,39458.488229
60,45,AVALON PARK,22.1,18.5,16.7,0.6,41.9,13.3,23495,16.6,9.3,50.8,19.1656069037685,20.8054281323115,1390.6930571783546,9589.463276
61,46,SOUTH CHICAGO,36.9,33.7,28.0,5.9,43.1,28.2,15393,17.7,22.1,41.4,25.3540326101423,28.8380762548372,1699.74717665497,28332.448885
62,40,WASHINGTON PARK,44.6,39.5,39.1,4.9,40.9,28.3,13087,23.2,25.0,60.1,65.4569603204927,37.1842735540573,2551.5443660235164,10969.043052
63,67,WEST ENGLEWOOD,47.2,39.3,32.3,6.9,40.9,30.3,10559,34.7,18.3,36.3,63.5006602236881,33.2776061821018,2731.303379857499,26567.535681
64,36,OAKLAND,18.9,12.6,38.1,3.5,40.5,17.6,19312,26.6,25.1,26.1,7.80366305227681,24.7303164501057,1516.685261204619,4425.440249
65,18,MONTCLAIRE,8.6,6.5,12.8,5.8,35.0,28.4,21257,10.8,33.1,21.2,0.0758252634643147,11.6889146001058,419.70766540703136,14305.195008
66,69,GREATER GRAND CROSSING,49.7,44.6,25.6,4.2,42.9,17.9,17213,18.9,26.6,27.6,10.5555862885626,35.8672672676466,2188.489318546496,30215.363374
67,23,HUMBOLDT PARK,29.0,22.7,32.6,11.2,38.3,36.8,13391,12.3,13.9,33.0,16.4262630325303,26.6808956070045,1514.4238047009712,55049.319577
68,43,SOUTH SHORE,33.4,30.0,31.5,2.9,37.6,14.9,18366,17.7,26.2,38.2,57.5959879762995,31.09504774571,2013.6567226464333,43755.223524
69,49,ROSELAND,40.9,37.7,19.5,3.1,40.9,17.4,17974,17.8,16.9,33.2,66.6029013129088,23.4093236287476,1777.4442379449142,39252.989495
70,27,EAST GARFIELD PARK,38.4,37.1,39.7,7.5,43.2,26.2,13596,16.4,25.2,30.1,52.3356796509787,44.3511986623673,2750.6080955288626,18950.718601
71,29,NORTH LAWNDALE,46.7,37.6,38.6,7.2,40.9,30.4,12548,18.5,15.0,44.0,22.3385451747269,38.13909172783,2776.371852033223,32086.480035
