id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
12613063,JF138197,2022-02-08T12:00:00.000,037XX W 82ND ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0834,008,18,70,05,1152956,1849953,2022,2022-02-15T15:49:52.000,41.744116167,-87.71513527,"{'latitude': '41.744116167', 'longitude': '-87.71513527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,4300,69,199,30,8,13,232
12613348,JF138784,2022-02-08T12:00:00.000,008XX E 82ND ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,0631,006,8,44,26,1183467,1850812,2022,2022-02-15T15:49:52.000,41.745817472,-87.603313617,"{'latitude': '41.745817472', 'longitude': '-87.603313617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,40,247,35,61,20,235
12612634,JF137806,2022-02-08T12:00:00.000,007XX S STATE ST,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,STREET,False,False,0123,001,4,32,03,1176474,1896948,2022,2022-02-15T15:49:52.000,41.872578827,-87.627548862,"{'latitude': '41.872578827', 'longitude': '-87.627548862', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14913,38,12,10,35,22,144
12612880,JF138218,2022-02-08T11:59:00.000,039XX S STATE ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0213,002,3,38,06,1176928,1878984,2022,2022-02-15T15:49:52.000,41.823274065,-87.62642495,"{'latitude': '41.823274065', 'longitude': '-87.62642495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,14924,4,414,9,37,24,102
12613400,JF137749,2022-02-08T11:58:00.000,008XX S WABASH AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,0123,001,4,32,08B,1176920,1896489,2022,2022-02-15T15:49:52.000,41.871309228,-87.625925303,"{'latitude': '41.871309228', 'longitude': '-87.625925303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14913,38,368,10,35,22,144
12612692,JF138010,2022-02-08T11:55:00.000,007XX S CLARK ST,0810,THEFT,OVER $500,APARTMENT,False,False,0123,001,4,32,06,1175633,1897092,2022,2022-02-15T15:49:52.000,41.872992906,-87.63063219,"{'latitude': '41.872992906', 'longitude': '-87.63063219', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14913,38,12,10,35,22,144
12612594,JF137726,2022-02-08T11:54:00.000,087XX S STONY ISLAND AVE,0460,BATTERY,SIMPLE,DEPARTMENT STORE,False,False,0412,004,8,48,08B,1188437,1847378,2022,2022-02-15T15:49:52.000,41.736277091,-87.585212192,"{'latitude': '41.736277091', 'longitude': '-87.585212192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21202,44,473,35,25,19,240
12612599,JF137685,2022-02-08T11:49:00.000,019XX W MADISON ST,0325,ROBBERY,VEHICULAR HIJACKING,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1223,012,27,28,03,1163655,1900042,2022,2022-02-15T15:49:52.000,41.881348623,-87.674525788,"{'latitude': '41.881348623', 'longitude': '-87.674525788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,21184,29,90,46,28,15,75
12612564,JF137661,2022-02-08T11:45:00.000,055XX S LOOMIS BLVD,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,0713,007,16,67,03,1167943,1867943,2022,2022-02-15T15:49:52.000,41.793174477,-87.659704878,"{'latitude': '41.793174477', 'longitude': '-87.659704878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,22257,65,297,2,23,17,266
12612714,JF137819,2022-02-08T11:37:00.000,008XX N TRUMBULL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,1121,011,27,23,14,1153227,1905353,2022,2022-02-15T15:49:52.000,41.896135823,-87.712675995,"{'latitude': '41.896135823', 'longitude': '-87.712675995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,4299,24,150,46,5,16,65
12612575,JF137626,2022-02-08T11:32:00.000,057XX W WASHINGTON BLVD,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,True,False,1512,015,29,25,18,1137999,1900163,2022,2022-02-15T15:49:52.000,41.88218247,-87.768731545,"{'latitude': '41.88218247', 'longitude': '-87.768731545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22216,26,618,7,32,25,99
