,community_area_name,community_area,assault_homicide,firearm_related,below_poverty_level,crowded_housing,dependency,no_high_school_diploma,per_capita_income,unemployment,adult_fruit_and_vegetable_servings_rate,adult_soda_consumption_rate,low_food_access,poverty_rate,crime_rate,population
42,EAST SIDE,52,-0.42409180837438126,-0.4485476793659658,-0.06291312177706808,0.9037599856202787,0.9502560645701681,1.1567578700542034,-0.6957517928366697,0.2796248664475294,0.12847599208495242,1.85256549558775,-0.13998031755945264,-0.11457327203845442,-0.7416511013125215,-0.6084427493404163
43,MORGAN PARK,75,0.17379594248617297,-0.022528817030758937,-0.5749966711253,-1.0740390658621983,0.5249145505195769,-0.8109760549021726,0.01382756602618899,0.3439592646441672,0.24393943718269903,0.5144904714614484,0.23943604159339194,-0.6985974498999815,-0.17559248105803035,-0.6937146211124416
44,LOGAN SQUARE,22,-0.5605661862882034,-0.441073664237278,-0.21653818658153764,-0.44114336938780574,-1.2176135876876826,-0.20305825694817028,0.19983189879324764,-0.8462271019936319,1.283110443062416,-0.88480367141573,-1.1512673098021133,-0.7541582968604951,-0.5329866596431342,1.6435416420090325
45,ROGERS PARK,1,-0.6190552053941273,-0.8147744206716699,0.3467537177015174,0.7982773695412131,-0.9294790136534111,-0.2350539305246966,-0.1479523376230197,-0.8462271019936319,1.3344275297725254,-1.024733085703448,-0.9075107018400916,0.5640195478092357,-0.5019866684514209,0.7302171924730345
46,PULLMAN,50,0.9731458702671317,1.1957356489453588,0.08047027204043707,-0.9158151417436002,0.8816525945620082,-0.43502689037798703,-0.45612635886009995,1.3250588371428935,1.2446226280298343,-0.8935492598087125,2.1971029831783926,0.062040707850718156,0.7554447617901313,-1.3704595411762377
47,WASHINGTON HEIGHTS,73,1.350075104505307,1.4573261784494331,-0.37016325138600725,-0.9949271038028993,0.9365353705685359,-0.43502689037798703,-0.4101654149662333,0.8908016493155885,-1.4623536959284418,0.864314007180743,1.637207570990163,0.19113418292403908,0.11576754565862091,-0.46189089656382154
48,UPTOWN,3,-0.7685271431092657,-0.859618511443797,0.3467537177015174,-0.07195421311107685,-1.835044817761121,-0.5950052582606192,0.41778628942384893,-0.814059902895313,0.39789069731302745,-0.8235845526648535,-1.151033384221981,-0.139172777963605,-0.5603709358414651,0.7812767460102482
49,HEGEWISCH,55,-0.6710454445993927,-0.20190518011926709,-0.7388634069167341,-0.12469552115060938,0.8267698185554806,-0.25105176731296003,-0.223440896468644,-0.5084715114612837,0.025841818664733777,0.9255331259316192,0.17679571423258633,-0.22392143847351895,-0.5720872516090764,-1.2728731531503097
50,ASHBURN,70,-0.31361255006319183,-0.3364374524356482,-1.0051468525778147,-0.17743682919014214,0.15445581247551446,-0.21905609373643345,-0.25506359718194543,-0.637140307854559,-0.718255938631854,0.19090370092110065,1.7815936991476182,-0.5802700603808907,-0.6971166639657647,0.3155584217211867
51,GARFIELD RIDGE,56,-0.4760820475796468,-0.5158138155241564,-1.056355207512638,-0.5993672935064038,0.5386352445212091,-0.1310679914009859,-0.0844450504762239,-0.7497255046986754,0.051500362019788436,1.012989009861443,0.9010716695497666,-1.0298648717907561,-0.7527666328945999,0.02007986549879672
